symbols,amharic_set1,words_set1,amharic_set2,words_set2,amharic_set3,words_set3,amharic_set4,words_set4,amharic_practices,words_practice,image_practice,thisN,thisTrialN,thisRepN,debugging_press_enter_to_skip_24.keys,debugging_press_enter_to_skip_4.keys,debugging_press_enter_to_skip_5.keys,debugging_press_enter_to_skip_25.keys,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.duration,debugging_press_enter_to_skip_23.keys,debugging_press_enter_to_skip_26.keys,debugging_press_enter_to_skip_15.keys,debugging_press_enter_to_skip_7.keys,debugging_press_enter_to_skip.keys,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,debugging_press_enter_to_skip_19.keys,debugging_press_enter_to_skip_9.keys,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,debugging_press_enter_to_skip_20.keys,debugging_press_enter_to_skip_11.keys,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,debugging_press_enter_to_skip_21.keys,debugging_press_enter_to_skip_13.keys,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,debugging_press_enter_to_skip_22.keys,answer_box.text,enter.keys,enter.rt,enter.duration,LoopParameters.thisRepN,LoopParameters.thisTrialN,LoopParameters.thisN,LoopParameters.thisIndex,pracitce_wrds.thisRepN,pracitce_wrds.thisTrialN,pracitce_wrds.thisN,pracitce_wrds.thisIndex,practice_sets1.thisRepN,practice_sets1.thisTrialN,practice_sets1.thisN,practice_sets1.thisIndex,practice_imagess.thisRepN,practice_imagess.thisTrialN,practice_imagess.thisN,practice_imagess.thisIndex,practice_sets2.thisRepN,practice_sets2.thisTrialN,practice_sets2.thisN,practice_sets2.thisIndex,practice_testt.thisRepN,practice_testt.thisTrialN,practice_testt.thisN,practice_testt.thisIndex,checkLoop.thisRepN,checkLoop.thisTrialN,checkLoop.thisN,checkLoop.thisIndex,xmarkLoop.thisRepN,xmarkLoop.thisTrialN,xmarkLoop.thisN,xmarkLoop.thisIndex,LearningSetOne.thisRepN,LearningSetOne.thisTrialN,LearningSetOne.thisN,LearningSetOne.thisIndex,setOne.thisRepN,setOne.thisTrialN,setOne.thisN,setOne.thisIndex,nreps_A1.thisRepN,nreps_A1.thisTrialN,nreps_A1.thisN,nreps_A1.thisIndex,nreps_B1.thisRepN,nreps_B1.thisTrialN,nreps_B1.thisN,nreps_B1.thisIndex,testSet1.thisRepN,testSet1.thisTrialN,testSet1.thisN,testSet1.thisIndex,checkloop.thisRepN,checkloop.thisTrialN,checkloop.thisN,checkloop.thisIndex,xloop.thisRepN,xloop.thisTrialN,xloop.thisN,xloop.thisIndex,LearningSetTwo.thisRepN,LearningSetTwo.thisTrialN,LearningSetTwo.thisN,LearningSetTwo.thisIndex,setTwo.thisRepN,setTwo.thisTrialN,setTwo.thisN,setTwo.thisIndex,nreps_A2.thisRepN,nreps_A2.thisTrialN,nreps_A2.thisN,nreps_A2.thisIndex,nreps_B2.thisRepN,nreps_B2.thisTrialN,nreps_B2.thisN,nreps_B2.thisIndex,testSet2.thisRepN,testSet2.thisTrialN,testSet2.thisN,testSet2.thisIndex,checkloop2.thisRepN,checkloop2.thisTrialN,checkloop2.thisN,checkloop2.thisIndex,xmark2.thisRepN,xmark2.thisTrialN,xmark2.thisN,xmark2.thisIndex,LearningSetThree.thisRepN,LearningSetThree.thisTrialN,LearningSetThree.thisN,LearningSetThree.thisIndex,setThree.thisRepN,setThree.thisTrialN,setThree.thisN,setThree.thisIndex,nreps_A3.thisRepN,nreps_A3.thisTrialN,nreps_A3.thisN,nreps_A3.thisIndex,nreps_B3.thisRepN,nreps_B3.thisTrialN,nreps_B3.thisN,nreps_B3.thisIndex,testSet3.thisRepN,testSet3.thisTrialN,testSet3.thisN,testSet3.thisIndex,checkloops3.thisRepN,checkloops3.thisTrialN,checkloops3.thisN,checkloops3.thisIndex,xmarkloops3.thisRepN,xmarkloops3.thisTrialN,xmarkloops3.thisN,xmarkloops3.thisIndex,LearningSetFour.thisRepN,LearningSetFour.thisTrialN,LearningSetFour.thisN,LearningSetFour.thisIndex,setFour.thisRepN,setFour.thisTrialN,setFour.thisN,setFour.thisIndex,nreps_A4.thisRepN,nreps_A4.thisTrialN,nreps_A4.thisN,nreps_A4.thisIndex,nreps_B4.thisRepN,nreps_B4.thisTrialN,nreps_B4.thisN,nreps_B4.thisIndex,testSet4.thisRepN,testSet4.thisTrialN,testSet4.thisN,testSet4.thisIndex,checkmark_loop4.thisRepN,checkmark_loop4.thisTrialN,checkmark_loop4.thisN,checkmark_loop4.thisIndex,xmark_loop4.thisRepN,xmark_loop4.thisTrialN,xmark_loop4.thisN,xmark_loop4.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,COUNTERBALANCE_AND_NUMREPS.started,COUNTERBALANCE_AND_NUMREPS.stopped,LoadCharacters.started,LoadCharacters.stopped,loadAndRemoveNone.started,loadAndRemoveNone.stopped,GenerateQuestions.started,GenerateQuestions.stopped,practice_welcome.started,text_4.started,key_resp_9.started,practice_welcome.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,randomize_set.started,randomize_set.stopped,Increment.started,Increment.stopped,practice_wrdss.started,practice_amharicc.started,practice_wordssss.started,debugging_press_enter_to_skip_24.started,practice_wrdss.stopped,practice_sets1.debugging_press_enter_to_skip_24.keys,plusBetween.started,plus.started,debugging_press_enter_to_skip_4.started,plusBetween.stopped,practice_sets1.debugging_press_enter_to_skip_4.keys,breakBetweenRepeats.started,five_seconds.started,maybe_a_beep.started,debugging_press_enter_to_skip_5.started,maybe_a_beep.stopped,breakBetweenRepeats.stopped,pracitce_wrds.debugging_press_enter_to_skip_5.keys,practice_amharicc.stopped,practice_wordssss.stopped,debugging_press_enter_to_skip_24.stopped,plus.stopped,debugging_press_enter_to_skip_4.stopped,five_seconds.stopped,debugging_press_enter_to_skip_5.stopped,breakBetweenSets.started,cross.started,debugging_press_enter_to_skip_8.started,breakBetweenSets.stopped,debugging_press_enter_to_skip_8.keys,practice_images.started,amharic_practice2.started,image_practice.started,debugging_press_enter_to_skip_25.started,practice_images.stopped,practice_sets2.debugging_press_enter_to_skip_25.keys,practice_sets2.debugging_press_enter_to_skip_4.keys,practice_imagess.debugging_press_enter_to_skip_5.keys,practice_test.started,textAmharic_9.started,debugging_press_enter_to_skip_23.started,textOptionA_9.started,textOptionB_9.started,textOptionA_9.stopped,textOptionB_9.stopped,textOptionC_9.started,textOptionC_9.stopped,textOptionD_9.started,textOptionD_9.stopped,textDiamond_8.started,key_resp_10.started,practice_test.stopped,practice_testt.key_resp_10.keys,practice_testt.key_resp_10.corr,practice_testt.key_resp_10.rt,practice_testt.key_resp_10.duration,practice_testt.debugging_press_enter_to_skip_23.keys,checkForCorr_5.started,checkForCorr_5.stopped,xmark.started,textXmark.started,debugging_press_enter_to_skip_26.started,xmark.stopped,xmarkLoop.debugging_press_enter_to_skip_26.keys,resetReps.started,resetReps.stopped,blank500.started,text_2.started,debugging_press_enter_to_skip_15.started,text_2.stopped,debugging_press_enter_to_skip_15.stopped,blank500.stopped,practice_testt.debugging_press_enter_to_skip_15.keys,textXmark.stopped,debugging_press_enter_to_skip_26.stopped,checkmark.started,textCheck.started,debugging_press_enter_to_skip_7.started,checkmark.stopped,checkLoop.debugging_press_enter_to_skip_7.keys,textCheck.stopped,debugging_press_enter_to_skip_7.stopped,WelcomeScreen.started,text_3.started,Press_Space_When_Ready.started,WelcomeScreen.stopped,Press_Space_When_Ready.keys,Press_Space_When_Ready.rt,Press_Space_When_Ready.duration,amharic1_A.started,amharics1.started,words1.started,debugging_press_enter_to_skip.started,amharic1_A.stopped,nreps_A1.debugging_press_enter_to_skip.keys,setOne.debugging_press_enter_to_skip_4.keys,LearningSetOne.debugging_press_enter_to_skip_5.keys,amharics1.stopped,words1.stopped,debugging_press_enter_to_skip.stopped,routine_30Seconds.started,thirtySeconds.started,debugging_press_enter_to_skip_6.started,routine_30Seconds.stopped,debugging_press_enter_to_skip_6.keys,start_test.started,textWelcome.started,key_resp_11.started,start_test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,test1_NEW.started,textAmharic_5.started,debugging_press_enter_to_skip_19.started,textOptionA_5.started,textOptionA_5.stopped,textOptionB_5.started,textOptionB_5.stopped,textOptionC_5.started,textOptionC_5.stopped,textOptionD_5.started,textOptionD_5.stopped,textDiamond_3.started,key_resp_5.started,test1_NEW.stopped,testSet1.key_resp_5.keys,testSet1.key_resp_5.corr,testSet1.key_resp_5.rt,testSet1.key_resp_5.duration,testSet1.debugging_press_enter_to_skip_19.keys,checkForCorr.started,checkForCorr.stopped,checkloop.debugging_press_enter_to_skip_7.keys,testSet1.debugging_press_enter_to_skip_15.keys,xloop.debugging_press_enter_to_skip_26.keys,cross.stopped,debugging_press_enter_to_skip_8.stopped,amharic2_A.started,amharics2.started,words2.started,debugging_press_enter_to_skip_9.started,amharic2_A.stopped,nreps_A2.debugging_press_enter_to_skip_9.keys,setTwo.debugging_press_enter_to_skip_4.keys,LearningSetTwo.debugging_press_enter_to_skip_5.keys,amharics2.stopped,words2.stopped,debugging_press_enter_to_skip_9.stopped,test2_NEW.started,textAmharic_6.started,debugging_press_enter_to_skip_20.started,textOptionA_6.started,textOptionA_6.stopped,textOptionB_6.started,textOptionC_6.started,textOptionB_6.stopped,textOptionC_6.stopped,textOptionD_6.started,textOptionD_6.stopped,textDiamond_5.started,key_resp_6.started,test2_NEW.stopped,testSet2.key_resp_6.keys,testSet2.key_resp_6.corr,testSet2.key_resp_6.rt,testSet2.key_resp_6.duration,testSet2.debugging_press_enter_to_skip_20.keys,checkForCorr_2.started,checkForCorr_2.stopped,checkloop2.debugging_press_enter_to_skip_7.keys,testSet2.debugging_press_enter_to_skip_15.keys,amharic3_A.started,amharics3.started,words3_image.started,debugging_press_enter_to_skip_11.started,amharic3_A.stopped,nreps_A3.debugging_press_enter_to_skip_11.keys,setThree.debugging_press_enter_to_skip_4.keys,LearningSetThree.debugging_press_enter_to_skip_5.keys,test3_NEW.started,textAmharic_7.started,debugging_press_enter_to_skip_21.started,textOptionA_7.started,textOptionB_7.started,textOptionA_7.stopped,textOptionB_7.stopped,textOptionC_7.started,textOptionD_7.started,textOptionC_7.stopped,textOptionD_7.stopped,textDiamond_6.started,key_resp_7.started,test3_NEW.stopped,testSet3.key_resp_7.keys,testSet3.key_resp_7.corr,testSet3.key_resp_7.rt,testSet3.key_resp_7.duration,testSet3.debugging_press_enter_to_skip_21.keys,checkForCorr_3.started,checkForCorr_3.stopped,xmarkloops3.debugging_press_enter_to_skip_26.keys,testSet3.debugging_press_enter_to_skip_15.keys,checkloops3.debugging_press_enter_to_skip_7.keys,amharic4_A.started,amharics4.started,words4_image.started,debugging_press_enter_to_skip_13.started,amharic4_A.stopped,nreps_A4.debugging_press_enter_to_skip_13.keys,setFour.debugging_press_enter_to_skip_4.keys,LearningSetFour.debugging_press_enter_to_skip_5.keys,test4_NEW.started,textAmharic_8.started,debugging_press_enter_to_skip_22.started,textOptionA_8.started,textOptionB_8.started,textOptionA_8.stopped,textOptionB_8.stopped,textOptionC_8.started,textOptionC_8.stopped,textOptionD_8.started,textDiamond_7.started,key_resp_8.started,textOptionD_8.stopped,test4_NEW.stopped,testSet4.key_resp_8.keys,testSet4.key_resp_8.corr,testSet4.key_resp_8.rt,testSet4.key_resp_8.duration,testSet4.debugging_press_enter_to_skip_22.keys,checkForCorr_4.started,checkForCorr_4.stopped,checkmark_loop4.debugging_press_enter_to_skip_7.keys,testSet4.debugging_press_enter_to_skip_15.keys,xmark_loop4.debugging_press_enter_to_skip_26.keys,WelcomeSlide.started,Welcome.started,goNext.started,WelcomeSlide.stopped,goNext.keys,goNext.rt,goNext.duration,Instructions.started,instructions_text.started,goNext1.started,Instructions.stopped,goNext1.keys,goNext1.rt,goNext1.duration,TestQuestion.started,answer_box.started,enter.started,symbol.started,TestQuestion.stopped,Trials.answer_box.text,Trials.enter.keys,Trials.enter.rt,Trials.enter.duration,Evaluate.started,Evaluate.stopped,ThankYou.started,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042319600004702806,0.04321359982714057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
✓,ቮ,cats,ኈ,fishing,ሐ,go,ና,dance,፨,hike,pictures/hike.jpg,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.13437839993275702,0.13495239987969398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
✗,ተ,north,ኴ,book,ሜ,artist,ኞ,education,፻,I,pictures/I.jpg,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.13529219990596175,0.13579769991338253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
None,ቺ,map,ዄ,mirror,ሣ,ring,ኧ,smart,ቇ,be,pictures/be.jpg,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.13606639998033643,0.13655099994502962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
None,ኇ,travel,ጕ,happy,ሯ,downtown,ኬ,late,ሏ,computer,pictures/computer.jpg,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.13688949984498322,0.13734549982473254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
None,ነ,school,፠,work,ሴ,rich,ኼ,cinema,ወ,have,pictures/have.jpg,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.137558399932459,0.13798270002007484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
None,ኟ,home,ፎ,phone,ሿ,shopping,ው,sad,ሬ,hungry,pictures/hungry.jpg,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.13829689985141158,0.13877069996669888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
None,አ,swim,፸,poor,ቃ,be,ዐ,musician,እ,important,pictures/important.jpg,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.13899409980513155,0.13961709989234805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
None,ዒ,eager,ሀ,salesman,ብ,we,ዥ,run,ፔ,library,pictures/library.jpg,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.13998609990812838,0.14061659993603826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
None,ዞ,energy,ሊ,shoes,ቬ,kind,ዚ,skate,ፊ,money,pictures/money.jpg,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15774709987454116,,,,0.14095679996535182,0.14150039991363883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-02-23_14h57.40.473,finaltest,2024.2.4,59.99883599974894,2025-02-23 14h58.10.741490 -0800,
